City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Namibe,AO,75.54,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
15,Cayhagan,PH,81.91,moderate rain,9.6697,122.4256,Melrose Beach Resort
19,Zhob,PK,77.94,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
28,Lazaro Cardenas,MX,78.12,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
31,Dhidhdhoo,MV,82.6,scattered clouds,6.8833,73.1,Dhidhoo beach
35,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
36,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Vista Roof Restaurant
43,Padang,ID,77.05,heavy intensity rain,-0.9492,100.3543,Mercure Padang
47,Kavaratti,IN,82.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
48,Meulaboh,ID,80.06,overcast clouds,4.1363,96.1285,Kost Pria
51,Poso,ID,85.32,few clouds,-1.3959,120.7524,Hotel 77 Poso
52,Hilo,US,83.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Tabou,CI,77.07,overcast clouds,4.423,-7.3528,hotêl doufoulougou
65,Banda Aceh,ID,82.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
70,Yinchuan,CN,77.2,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
78,Atar,MR,84.67,overcast clouds,20.5169,-13.0499,Oumou Elghoura
79,Salalah,OM,80.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Korla,CN,75.63,clear sky,41.7597,86.1469,Gulisitan Hotel
82,Sri Aman,MY,83.82,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
83,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
84,Biltine,TD,81.84,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
85,Samana,DO,78.22,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
86,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
97,Dzilam Gonzalez,MX,75.79,clear sky,21.2833,-88.9333,posadas
105,Lae,PG,85.84,few clouds,-6.7221,146.9847,Phils Hotel
107,Kupang,ID,85.39,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
109,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
112,Atuona,PF,78.49,scattered clouds,-9.8,-139.0333,Villa Enata
119,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
121,Paciran,ID,82.58,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
125,Amalapuram,IN,88.41,broken clouds,16.5833,82.0167,swayamprabha service apartments
126,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
133,Monywa,MM,88.29,overcast clouds,22.1167,95.1333,Monywa Hotel
136,Bandarbeyla,SO,78.51,few clouds,9.4942,50.8122,JABIR HOTEL
139,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Marawi,PH,77.13,overcast clouds,7.9986,124.2928,Derogongan Residence
143,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
148,Devli,IN,88.12,few clouds,25.75,75.3833,HOTEL DWARKA PALACE
161,Luganville,VU,83.12,clear sky,-15.5333,167.1667,The Espiritu Hotel
162,Hithadhoo,MV,83.5,overcast clouds,-0.6,73.0833,Scoop Guest House
166,Caucaia,BR,76.95,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
173,Chodavaram,IN,85.84,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
175,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
184,Zabid,YE,84.49,scattered clouds,14.1951,43.3152,مغرب التريبه
187,Gazanjyk,TM,79.02,clear sky,39.2446,55.5154,Railway motel
188,Itarema,BR,75.7,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
191,Tommot,RU,77.45,few clouds,58.9564,126.2925,Gostinitsa Tommot
196,Patiya,BD,84.56,few clouds,22.2931,91.9762,Sorry
198,Jalu,LY,76.39,clear sky,29.0331,21.5482,صاحبة الفخامة
199,Axim,GH,78.06,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
200,Pedernales,DO,80.47,overcast clouds,18.0384,-71.744,Hotel Costa Marina
201,Fairbanks,US,76.01,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
202,Kutum,SD,75.16,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
203,Sorong,ID,84.06,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
208,Port Blair,IN,82.6,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
209,Pemangkat,ID,83.05,few clouds,1.1667,108.9667,Ramah Kost KITA
215,Mitsamiouli,KM,78.13,few clouds,-11.3847,43.2844,Foyer ADM
218,Samarai,PG,83.34,broken clouds,-10.6167,150.6667,Nuli Sapi
219,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
222,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
227,Jacareacanga,BR,75.51,broken clouds,-6.2222,-57.7528,Casa do Ian😎
229,Tazmalt,DZ,75.79,overcast clouds,36.3868,4.3989,Hôtel Numédia
231,Alugan,PH,81.99,heavy intensity rain,12.2188,125.4808,JM Lodge
237,Iralaya,HN,78.62,overcast clouds,15.0,-83.2333,Iglesia morava renovada
240,Butaritari,KI,81.05,broken clouds,3.0707,172.7902,Isles Sunset Lodge
245,Kloulklubed,PW,82.9,clear sky,7.0419,134.2556,Storyboard Beach Resort
