City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Olga,RU,43.7444,135.2892,52.09,62,100,10.58,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,57.88,71,100,9.78,overcast clouds
2,Isiro,CD,2.7739,27.616,65.93,96,50,1.16,scattered clouds
3,Klaksvik,FO,62.2266,-6.589,49.12,92,100,5.75,overcast clouds
4,Tiksi,RU,71.6872,128.8694,54.73,74,100,16.53,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,74.53,68,100,8.12,overcast clouds
6,Talnakh,RU,69.4865,88.3972,27.21,63,9,16.93,clear sky
7,Airai,TL,-8.9266,125.4092,72.82,60,73,2.1,broken clouds
8,Namibe,AO,-15.1961,12.1522,75.54,36,1,13.58,clear sky
9,Albany,US,42.6001,-73.9662,60.17,47,0,4.0,clear sky
10,Fort Nelson,CA,58.8053,-122.7002,62.19,72,75,4.61,thunderstorm
11,Dikson,RU,73.5069,80.5464,29.61,94,100,8.23,overcast clouds
12,Yizheng,CN,24.6706,103.4296,69.62,77,93,6.24,overcast clouds
13,Busselton,AU,-33.65,115.3333,57.15,72,86,10.16,overcast clouds
14,Chokurdakh,RU,70.6333,147.9167,59.04,33,81,12.57,broken clouds
15,Cayhagan,PH,9.6697,122.4256,81.91,75,100,5.66,moderate rain
16,Ahipara,NZ,-35.1667,173.1667,61.99,70,100,11.01,moderate rain
17,Hasaki,JP,35.7333,140.8333,70.29,76,100,5.73,overcast clouds
18,Rio Claro,BR,-22.4114,-47.5614,55.9,95,28,3.69,scattered clouds
19,Zhob,PK,31.3411,69.4481,77.94,10,0,3.36,clear sky
20,Fortuna,US,40.5982,-124.1573,60.66,94,100,19.57,moderate rain
21,Kizilskoye,RU,52.7255,58.8937,49.19,96,100,7.45,light rain
22,Norman Wells,CA,65.282,-126.8329,50.52,54,85,7.07,overcast clouds
23,Kodiak,US,57.79,-152.4072,63.03,51,11,3.91,few clouds
24,Cape Town,ZA,-33.9258,18.4232,59.88,84,0,14.97,clear sky
25,Puerto Madryn,AR,-42.7692,-65.0385,48.47,63,100,7.83,overcast clouds
26,Anadyr,RU,64.75,177.4833,38.07,66,100,1.48,overcast clouds
27,Svetlogorsk,BY,52.6333,29.7333,55.6,96,100,4.21,overcast clouds
28,Lazaro Cardenas,MX,17.9583,-102.2,78.12,78,95,5.82,overcast clouds
29,Pendleton,US,45.6721,-118.7886,70.61,67,98,5.99,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,38.86,52,40,12.66,scattered clouds
31,Dhidhdhoo,MV,6.8833,73.1,82.6,78,49,18.19,scattered clouds
32,Neuenhof,CH,47.45,8.3167,66.87,86,95,3.44,overcast clouds
33,Requena,ES,39.4883,-1.1004,64.53,38,9,7.23,clear sky
34,Geraldton,AU,-28.7667,114.6,57.61,51,99,18.41,overcast clouds
35,Georgetown,MY,5.4112,100.3354,82.33,78,40,2.3,light rain
36,Kapaa,US,22.0752,-159.319,82.38,70,0,5.01,clear sky
37,Zyryanka,RU,65.75,150.85,64.96,26,100,3.91,overcast clouds
38,San Quintin,MX,30.4833,-115.95,63.43,79,1,17.38,clear sky
39,Vyazemskiy,RU,47.5378,134.7525,62.92,53,36,5.55,scattered clouds
40,Schenectady,US,42.8334,-74.0829,57.61,61,0,7.47,clear sky
41,Punta Arenas,CL,-53.15,-70.9167,37.51,70,40,17.27,scattered clouds
42,Cabo San Lucas,MX,22.8909,-109.9124,80.62,64,0,5.01,clear sky
43,Padang,ID,-0.9492,100.3543,77.05,64,99,1.59,heavy intensity rain
44,Lavrentiya,RU,65.5833,-171.0,41.61,76,30,9.78,scattered clouds
45,Uruburetama,BR,-3.625,-39.5083,71.87,97,65,0.94,broken clouds
46,Clyde River,CA,70.4692,-68.5914,30.43,93,100,9.22,light snow
47,Kavaratti,IN,10.5669,72.642,82.74,77,100,10.56,overcast clouds
48,Meulaboh,ID,4.1363,96.1285,80.06,81,91,3.71,overcast clouds
49,Sorland,NO,67.667,12.6934,42.66,74,100,31.54,overcast clouds
50,Colac,AU,-38.3333,143.5833,52.18,73,53,15.37,broken clouds
51,Poso,ID,-1.3959,120.7524,85.32,61,19,1.43,few clouds
52,Hilo,US,19.7297,-155.09,83.28,100,82,4.0,moderate rain
53,Qaanaaq,GL,77.484,-69.3632,22.53,85,30,5.5,scattered clouds
54,Calumet City,US,41.6156,-87.5295,65.52,59,100,8.05,overcast clouds
55,Tabou,CI,4.423,-7.3528,77.07,86,100,3.76,overcast clouds
56,Vardo,NO,70.3705,31.1107,46.38,93,100,4.61,light intensity shower rain
57,Husavik,IS,66.0449,-17.3389,44.33,68,64,2.68,broken clouds
