City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,-0.6,73.0833,83.66,70,99,7.85
1,Busselton,AU,-33.65,115.3333,61.66,54,82,12.01
2,Bethel,US,41.3712,-73.414,62.94,83,0,3.44
3,Saskylakh,RU,71.9167,114.0833,48.11,84,100,10.2
4,Puerto Carreno,CO,6.189,-67.4859,73.89,88,56,2.15
5,Upernavik,GL,72.7868,-56.1549,31.48,90,76,12.08
6,Dinghai,CN,26.2847,119.7936,81.52,92,91,15.21
7,Bluff,NZ,-46.6,168.3333,49.8,72,93,5.5
8,Barrow,US,71.2906,-156.7887,32.02,86,100,23.02
9,Champerico,GT,14.3,-91.9167,78.8,83,99,0.96
10,Vaini,TO,-21.2,-175.2,80.76,83,20,6.91
11,Rikitea,PF,-23.1203,-134.9692,75.43,77,51,9.95
12,Namibe,AO,-15.1961,12.1522,73.31,44,62,6.64
13,Ushuaia,AR,-54.8,-68.3,42.46,52,75,5.75
14,Kikwit,CD,-5.041,18.8162,69.13,61,40,2.59
15,San Jose Del Palmar,CO,4.9742,-76.2283,61.16,92,90,3.83
16,Cape Town,ZA,-33.9258,18.4232,59.38,82,57,3.44
17,Krivosheino,RU,57.3431,83.9261,42.66,53,56,9.26
18,New Norfolk,AU,-42.7826,147.0587,54.9,80,99,3.13
19,Butaritari,KI,3.0707,172.7902,81.01,72,36,6.71
20,Songjianghe,CN,42.1859,127.479,62.89,91,100,5.3
21,Yellowknife,CA,62.456,-114.3525,61.32,41,20,6.91
22,Walvis Bay,NA,-22.9575,14.5053,75.09,24,5,21.85
23,Norman Wells,CA,65.282,-126.8329,50.04,53,75,6.91
24,Adrar,MR,20.5022,-10.0711,82.36,21,49,18.68
25,Yichang,CN,30.7144,111.2847,87.57,72,50,3.02
26,Muros,ES,42.7762,-9.0603,60.1,93,94,5.39
27,Batemans Bay,AU,-35.7167,150.1833,63.25,45,2,9.89
28,Inhambane,MZ,-23.865,35.3833,68.5,81,37,6.06
29,Whitehorse,CA,60.7161,-135.0538,70.57,22,75,11.5
30,Victoria,HK,22.2855,114.1577,89.65,78,100,15.01
31,Tiksi,RU,71.6872,128.8694,42.53,86,99,6.02
32,Geraldton,AU,-28.7667,114.6,68.41,37,13,9.22
33,Hermanus,ZA,-34.4187,19.2345,55.17,85,43,8.66
34,Castro,BR,-24.7911,-50.0119,47.5,95,75,7.11
35,Ponta Do Sol,PT,32.6667,-17.1,64.71,72,12,3.76
36,Movileni,RO,44.3667,24.65,69.51,70,31,5.93
37,Myitkyina,MM,25.3833,97.4,77.61,93,100,2.33
38,Klaksvik,FO,62.2266,-6.589,50.92,87,92,21.05
39,Port Alfred,ZA,-33.5906,26.891,60.66,44,24,8.81
40,Atar,MR,20.5169,-13.0499,82.76,17,84,11.63
41,Hami,CN,42.8,93.45,83.86,9,26,2.75
42,Zabol,AF,32.25,67.25,78.17,12,0,8.43
43,Vostok,RU,46.4856,135.8833,43.05,94,100,2.55
44,Severo-Kurilsk,RU,50.6789,156.125,45.19,84,81,8.05
45,Atuona,PF,-9.8,-139.0333,77.45,79,14,18.86
46,Tongzi,CN,28.7829,105.0877,76.64,83,92,8.57
47,Vila,PT,42.0304,-8.1588,45.7,93,23,2.17
48,Hobart,AU,-42.8794,147.3294,55.26,68,75,8.05
49,Leningradskiy,RU,69.3833,178.4167,33.75,86,100,2.82
50,Roma,US,43.2128,-75.4557,55.72,86,0,1.99
51,Sembakung,ID,3.8167,117.25,89.67,61,70,1.43
52,Koumac,NC,-20.5667,164.2833,77.41,66,77,6.4
53,Alanya,TR,36.5438,31.9998,68.13,69,0,1.36
54,Mataura,NZ,-46.1927,168.8643,49.48,93,87,2.21
55,Olinda,BR,-8.0089,-34.8553,74.93,94,100,4.61
56,La Ronge,CA,55.1001,-105.2842,52.05,30,20,2.3
57,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,94,75,15.77
58,Isangel,VU,-19.55,169.2667,76.39,77,96,8.12
59,Berlevag,NO,70.8578,29.0864,48.0,93,100,5.75
60,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,21.85
61,Ketchikan,US,55.3422,-131.6461,61.27,72,75,17.27
62,Kapaa,US,22.0752,-159.319,80.58,78,40,12.66
63,Hamilton,US,39.1834,-84.5333,65.43,71,0,0.0
